#options: cpuid=1111039 frame-threads=2 wpp no-pmode no-pme no-psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=30/1 input-res=908x512 interlace=0 total-frames=0 level-idc=0 high-tier=1 uhd-bd=0 ref=3 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=25 keyint=250 gop-lookahead=0 bframes=4 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=20 lookahead-slices=0 scenecut=40 radl=0 no-splice no-intra-refresh ctu=64 min-cu-size=8 no-rect no-amp max-tu-size=32 tu-inter-depth=1 tu-intra-depth=1 limit-tu=0 rdoq-level=0 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=3 limit-refs=1 no-limit-modes me=1 subme=2 merange=57 temporal-mvp weightp no-weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=3 early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra no-splitrd-skip rdpenalty=0 psy-rd=2.00 psy-rdoq=0.00 no-rd-refine no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2600 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=2 aq-strength=1.00 cutree zone-count=0 no-strict-cbr qg-size=32 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 no-opt-qp-pps no-opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt no-idr-recovery-sei analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 refine-ctu-distortion=0 no-limit-sao ctu-info=0 no-lowpass-dct refine-analysis-type=0 copy-pic=1 max-ausize-factor=1.0 no-dynamic-refine no-single-sei no-hevc-aq no-svt no-field qp-adaptation-range=1.00
in:0 out:0 type:I q:24.76 q-aq:16.32 q-noVbv:24.76 q-Rceq:1.08 tex:291068 mv:34516 misc:1815 icu:1824.00 pcu:0.00 scu:0.00 ;
in:4 out:1 type:P q:31.67 q-aq:31.33 q-noVbv:31.67 q-Rceq:1.08 tex:57 mv:163 misc:506 icu:1.25 pcu:5.00 scu:1817.75 ;
in:2 out:2 type:B q:32.80 q-aq:32.76 q-noVbv:32.80 q-Rceq:1.08 tex:0 mv:23 misc:131 icu:0.00 pcu:0.00 scu:1824.00 ;
in:1 out:3 type:b q:33.94 q-aq:33.86 q-noVbv:33.94 q-Rceq:1.08 tex:0 mv:16 misc:133 icu:0.00 pcu:0.00 scu:1824.00 ;
in:3 out:4 type:b q:33.94 q-aq:33.86 q-noVbv:33.94 q-Rceq:1.08 tex:0 mv:18 misc:125 icu:0.00 pcu:0.00 scu:1824.00 ;
in:8 out:5 type:P q:27.67 q-aq:24.92 q-noVbv:27.67 q-Rceq:1.08 tex:5125 mv:277 misc:621 icu:1.50 pcu:11.00 scu:1811.50 ;
in:6 out:6 type:B q:30.80 q-aq:30.82 q-noVbv:30.80 q-Rceq:1.08 tex:1 mv:80 misc:459 icu:0.00 pcu:2.00 scu:1822.00 ;
in:5 out:7 type:b q:32.94 q-aq:32.86 q-noVbv:32.94 q-Rceq:1.08 tex:0 mv:28 misc:265 icu:0.00 pcu:4.00 scu:1820.00 ;
in:7 out:8 type:b q:30.94 q-aq:30.78 q-noVbv:30.94 q-Rceq:1.08 tex:42 mv:56 misc:310 icu:0.00 pcu:2.00 scu:1822.00 ;
in:13 out:9 type:P q:23.67 q-aq:18.54 q-noVbv:23.67 q-Rceq:1.08 tex:4562 mv:311 misc:996 icu:26.00 pcu:45.75 scu:1752.25 ;
in:11 out:10 type:B q:26.40 q-aq:25.87 q-noVbv:26.40 q-Rceq:1.08 tex:1 mv:39 misc:381 icu:0.00 pcu:16.00 scu:1808.00 ;
in:9 out:11 type:b q:29.14 q-aq:28.86 q-noVbv:29.14 q-Rceq:1.08 tex:0 mv:16 misc:216 icu:0.00 pcu:0.00 scu:1824.00 ;
in:10 out:12 type:b q:28.34 q-aq:27.87 q-noVbv:28.34 q-Rceq:1.08 tex:0 mv:20 misc:240 icu:0.00 pcu:0.00 scu:1824.00 ;
in:12 out:13 type:b q:26.74 q-aq:26.77 q-noVbv:26.74 q-Rceq:1.08 tex:69 mv:70 misc:295 icu:0.00 pcu:69.00 scu:1755.00 ;
in:14 out:14 type:P q:15.67 q-aq:7.78 q-noVbv:15.67 q-Rceq:1.08 tex:112402 mv:3491 misc:3494 icu:196.50 pcu:597.00 scu:1030.50 ;
in:19 out:15 type:P q:14.46 q-aq:7.27 q-noVbv:14.46 q-Rceq:1.08 tex:21186 mv:926 misc:2645 icu:43.25 pcu:185.75 scu:1595.00 ;
in:17 out:16 type:B q:16.08 q-aq:15.76 q-noVbv:16.08 q-Rceq:1.08 tex:1654 mv:243 misc:395 icu:25.25 pcu:23.75 scu:1775.00 ;
in:15 out:17 type:b q:17.70 q-aq:17.83 q-noVbv:17.70 q-Rceq:1.08 tex:1101 mv:162 misc:251 icu:0.25 pcu:33.75 scu:1790.00 ;
in:16 out:18 type:b q:17.45 q-aq:16.71 q-noVbv:17.45 q-Rceq:1.08 tex:1342 mv:168 misc:321 icu:24.25 pcu:43.75 scu:1756.00 ;
in:18 out:19 type:b q:16.97 q-aq:16.72 q-noVbv:16.97 q-Rceq:1.08 tex:1551 mv:83 misc:320 icu:0.50 pcu:6.50 scu:1817.00 ;
in:21 out:20 type:P q:11.62 q-aq:3.91 q-noVbv:11.62 q-Rceq:1.08 tex:118265 mv:2669 misc:3809 icu:87.50 pcu:504.00 scu:1232.50 ;
in:20 out:21 type:b q:15.31 q-aq:14.74 q-noVbv:15.31 q-Rceq:1.08 tex:368 mv:130 misc:375 icu:24.00 pcu:12.00 scu:1788.00 ;
in:26 out:22 type:P q:11.17 q-aq:4.84 q-noVbv:11.17 q-Rceq:1.08 tex:12473 mv:369 misc:1592 icu:30.25 pcu:124.75 scu:1669.00 ;
in:24 out:23 type:B q:12.49 q-aq:11.79 q-noVbv:12.49 q-Rceq:1.08 tex:374 mv:160 misc:391 icu:20.25 pcu:22.75 scu:1781.00 ;
in:22 out:24 type:b q:13.80 q-aq:13.86 q-noVbv:13.80 q-Rceq:1.08 tex:7 mv:57 misc:244 icu:0.00 pcu:36.00 scu:1788.00 ;
in:23 out:25 type:b q:13.71 q-aq:13.69 q-noVbv:13.71 q-Rceq:1.08 tex:260 mv:85 misc:291 icu:24.00 pcu:6.25 scu:1793.75 ;
in:25 out:26 type:b q:13.53 q-aq:13.86 q-noVbv:13.53 q-Rceq:1.08 tex:4 mv:55 misc:235 icu:0.00 pcu:17.00 scu:1807.00 ;
in:29 out:27 type:P q:8.51 q-aq:1.20 q-noVbv:8.51 q-Rceq:1.08 tex:80995 mv:1368 misc:2918 icu:50.25 pcu:340.75 scu:1433.00 ;
in:28 out:28 type:B q:10.53 q-aq:10.46 q-noVbv:10.53 q-Rceq:1.08 tex:1951 mv:283 misc:419 icu:24.00 pcu:26.75 scu:1773.25 ;
in:27 out:29 type:b q:12.55 q-aq:12.70 q-noVbv:12.55 q-Rceq:1.08 tex:38 mv:122 misc:217 icu:0.00 pcu:33.00 scu:1791.00 ;
